product_id,product_size,product_title,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
4355,1.75 qt,Store Brand Ice Cream; Light; Moose Tracks ,,10452,2.99,7.49,3.59
4356,1.75 qt,Store Brand Ice Cream; Light; Neapolitan ,,10453,2.99,7.49,3.59
4357,1.75 qt,Store Brand Ice Cream; Light; Vanilla ,,10454,2.99,7.49,3.59
4358,1.75 qt,Store Brand Ice Cream; Mackinac Island Fudge ,,10455,2.99,7.49,3.59
4359,1.75 qt,Store Brand Ice Cream; Mint Chocolate Chip ,,10456,2.99,7.49,3.59
4360,1.75 qt,Store Brand Ice Cream; Neapolitan ,,10457,2.99,7.49,3.59
4361,1.75 qt,Store Brand Ice Cream; Peanut Butter Fudge ,,10458,2.99,7.49,3.59
4362,1.75 qt,Store Brand Ice Cream; Peppermint Candy ,,10459,2.99,7.49,3.59
4363,1.75 qt,Store Brand Ice Cream; Praline Pecan ,,10460,2.99,7.49,3.59
4364,1.75 qt,Store Brand Ice Cream; Scooperman ,,10461,2.99,7.49,3.59
4365,1.75 qt,Store Brand Ice Cream; Strawberry ,,10462,2.99,7.49,3.59
4366,1.75 qt,Store Brand Ice Cream; Strawberry Cheesecake ,,10463,2.99,7.49,3.59
4367,1.75 qt,Store Brand Ice Cream; Vanilla ,,10464,2.99,7.49,3.59
359,82 oz,Store Brand Iced Tea Mix; Natural Lemon Flavor; Family Size ,,6433,5.39,7.49,6.58
3353,8 oz,Store Brand Italian Cheese Blend Fancy Shredded ,,9472,2.42,7.49,2.9
150,1 gal jug,Store Brand Juice - Fruit Punch,,6223,1.5,7.49,2.09
4455,24 ea,Store Brand Juice Stix; Assorted ,,10552,2.99,7.49,3.59
3554,12 ct,Store Brand Jumbo Grade A Eggs One Dozen ,,9673,1.54,7.49,1.88
4456,12 ea,Store Brand Junior Fudge Bars ,,10553,2.59,7.49,3.11
3596,64 oz,Store Brand Lactose Free 2% Milk With Calcium ,,9715,3.19,7.49,3.76
3597,64 oz,Store Brand Lactose Free Fat Free Milk With Calcium ,,9716,3.19,7.49,3.76
3555,24 ct,Store Brand Large Grade A Eggs 24 Eggs ,,9674,2.43,7.49,2.96
3556,8 ct,Store Brand Large Grade A Eggs 8 Eggs ,,9675,1.19,7.49,1.45
3557,12 ct,Store Brand Large Grade A Eggs One Dozen ,,9676,1.29,7.49,1.57
5139,18 ct,Store Brand Lemon Furniture Wipes ,,11247,2.89,7.49,3.38
506,12 oz can,Store Brand Lemon Lime,,6580,2.58,7.49,3.19
459,2 LTR BTL,Store Brand Lemon Lime Soda,,6533,0.78,7.49,1.29
460,2 LTR BTL,Store Brand Lemon Lime Soda - Diet,,6534,0.78,7.49,1.29
5806,15.5 OZ CAN,Store Brand Light Red Kidney Beans,,11891,0.95,7.49,1.23
3688,8 oz,Store Brand Lite Whipped Topping ,,9807,1.25,7.49,1.5
3688,8 oz,Store Brand Lite Whipped Topping ,,10767,1.25,7.49,1.5
3822,32 oz,Store Brand Lowfat Vanilla Yogurt ,,9941,1.93,7.49,2.41
5920,15 oz can,Store Brand Mac & Beef,,12005,0.94,7.49,1.21
5825,15 oz can,Store Brand Mandarin Oranges,,11910,1.28,7.49,1.65
3232,16 oz,Store Brand Margarine; Soft ,,9351,1.17,7.49,1.42
3233,2 ea,Store Brand Margarine; Soft ,,9352,1.17,7.49,1.42
3354,32 oz,Store Brand Mexican 4 Cheese Blend ,,9473,7.59,7.49,9.11
3355,8 oz,Store Brand Mexican Fancy Shredded 4 Cheese Blend ,,9474,2.42,7.49,2.9
5713,50 ea,Store Brand Migraine Formula; Coated Caplets ,,11798,3.88,7.49,4.85
3356,32 oz,Store Brand Mild Cheddar Natural Cheese ,,9475,7.59,7.49,9.11
3357,8 oz,Store Brand Mild Cheddar Natural Cheese Fancy Shredded ,,9476,2.42,7.49,2.9
3358,16 oz,Store Brand Mild Cheddar Regular Shredded ,,9477,3.79,7.49,4.55
3359,12 oz,Store Brand Mild Cheddar Shredded Cheese ,,9478,3.59,7.49,4.31
3116,11.5oz can,Store Brand Mixed Nuts,,9236,3.79,7.49,4.81
